id_proposicao_leggo,num_tweets,interactions,created_at,username,interesse,sigla_camara,sigla_senado
228fb060da529759a1457b4ef7f60fce,2,2282,2020-03-01,janainadobrasil,socioambiental,PL 51/2019,NA
228fb060da529759a1457b4ef7f60fce,1,653,2020-03-02,janainadobrasil,socioambiental,PL 51/2019,NA
243851418016d466c78fa14da9e693dd,1,6,2020-03-05,marciomacedopt,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,2,10,2020-05-22,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,2,4,2020-06-03,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,1,3,2020-06-06,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,2,1,2020-06-08,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,1,0,2020-06-09,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,4,2,2020-06-10,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,1,3,2020-06-11,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,1,0,2020-06-12,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,1,2,2020-06-15,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,2,0,2020-06-16,chicopreto_am,socioambiental,PL 153/2019,NA
243851418016d466c78fa14da9e693dd,5,3,2020-06-17,chicopreto_am,socioambiental,PL 153/2019,NA
24b766dcc54aa7470ca7e402eee1a33a,1,34,2020-02-20,contaratosenado,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,6,2020-02-20,tvsenado,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,12,2020-12-08,rodrigocunhaal,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,126,2020-12-21,alinesleutjes,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,2,34,2020-12-21,camaradeputados,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,87,2020-12-21,guimaraes13pt,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,17,2020-12-22,camaradeputados,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,15,2020-12-22,niltotatto,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,30,2020-12-22,pauloganime,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,95,2020-12-24,alinesleutjes,socioambiental,NA,PL 5028/2019
24b766dcc54aa7470ca7e402eee1a33a,1,6,2021-01-19,_sergiosouza,socioambiental,NA,PL 5028/2019
256da1be740c11a66fdec0c7102bf96f,1,40,2019-09-13,cartacapital,socioambiental,PEC 504/2010,NA
27801502fe8b57eb8c5a318fcfe79d57,4,89,2019-06-26,marcosrogerio,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,2700,2019-06-27,davialcolumbre,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,7,2019-06-27,luisa_canziani,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,74,2019-06-27,marcosrogerio,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,263,2019-06-27,rpsenador,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,130,2019-06-27,senadorheinze,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,133,2019-06-27,sen_alessandro,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,76,2019-06-27,vanderlan_vc,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,15,2019-06-28,nelsinhotrad,socioambiental,PL 3715/2020,NA
27801502fe8b57eb8c5a318fcfe79d57,1,10,2019-08-21,dep_santini,socioambiental,PL 3715/2020,NA
